bowler_name,Country,overs,Maideins,Runs,Wicket,No_ball,wide,Economy,url
Root,England Innings,7.0,0,47,0,0,0,6.7,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
Livingstone,England Innings,5.0,0,28,2,0,0,5.6,https://www.cricbuzz.com/live-cricket-scorecard/112437/afg-vs-eng-8th-match-group-b-icc-champions-trophy-2025
Spencer Johnson,Australia Innings,10.0,0,49,2,0,10,4.9,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
Dwarshuis,Australia Innings,9.0,0,47,3,0,2,5.2,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
Nathan Ellis,Australia Innings,10.0,0,60,1,0,1,6.0,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
Maxwell,Australia Innings,6.0,1,28,1,0,3,4.7,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
Zampa,Australia Innings,8.0,0,48,2,0,0,6.0,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
Matthew Short,Australia Innings,7.0,0,21,0,0,1,3.0,https://www.cricbuzz.com/live-cricket-scorecard/112444/afg-vs-aus-10th-match-group-b-icc-champions-trophy-2025
Marco Jansen,South Africa Innings,7.0,0,39,3,0,6,5.6,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
Lungi Ngidi,South Africa Innings,7.0,0,33,1,0,0,4.7,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
Rabada,South Africa Innings,7.0,1,42,1,1,1,6.0,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
Mulder,South Africa Innings,7.2,0,25,3,0,5,3.4,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
Maharaj,South Africa Innings,10.0,1,35,2,0,0,3.5,https://www.cricbuzz.com/live-cricket-scorecard/112451/rsa-vs-eng-11th-match-group-b-icc-champions-trophy-2025
Matt Henry,New Zealand Innings,8.0,0,42,5,0,2,5.2,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
Jamieson,New Zealand Innings,8.0,0,31,1,0,1,3.9,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
William ORourke,New Zealand Innings,9.0,0,47,1,0,2,5.2,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
Santner (c),New Zealand Innings,10.0,1,41,1,0,2,4.1,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
Michael Bracewell,New Zealand Innings,9.0,0,56,0,0,2,6.2,https://www.cricbuzz.com/live-cricket-scorecard/112455/nz-vs-ind-12th-match-group-a-icc-champions-trophy-2025
